Timestamp,Age Group,Gender,City or Town of Residence,Monthly Household Income Range,Household Size (Number input),Access to Vehicle,How often do you shop at supermarkets?,When do you usually shop?,How much do you typically spend on groceries per month? (Numeric input),Preferred payment method,Do you use any price comparison or shopping apps before buying?,Are you a loyalty card member for any store?,How much time do you usually spend during one shopping trip? (in minutes) (Numeric input),Which product categories do you frequently buy? (Select all that apply),Have you faced stock-outs while shopping?,(If yes) How frequently do you find your preferred items out of stock?,(If yes) How do you react when an item is out of stock?,(If yes) Which product categories are often out of stock in your experience? (Select all that apply),Do you check online for availability before visiting a store?,Are you willing to pre-order if items are out of stock?,What is the acceptable wait time for restocking (in days)? (Numeric input),Would you switch to another store if your preferred items are frequently out of stock?,Do you prefer shopping when offers are available?,Which offer types do you prefer?  (Select all that apply),Do offers influence your purchase decision?,"By what percentage do you typically increase the amount of money spent compared to your usual purchases? (For example, enter 20 if you spend 20% more during offers.)",Do you shop more frequently during offers?,Which categories do you prefer to buy during offers? (Select all that apply),What influences your purchase the most?,How would you describe your shopping style?,"On a scale of 1–5, how loyal are you to your preferred brands? (Ratings: 1 = Not at all, 5 = Very loyal)",Do you consider eco-friendliness when choosing a product?,How likely are you to switch to online shopping in the next 12 months? (% probability) (Numeric input: 0 to 100)
5/24/2025 21:27:47,18–25,Female,Coimbatore ,"Below ₹20,000",3,No,2–3 times a week,No fixed time,2500,UPI (Google Pay/PhonePe etc.),Yes,No,30,"Groceries, Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Switch to a different store,"Groceries, Dairy",No,Yes,3,Maybe,Yes,"Buy 1 Get 1 Free, Cashback, Free Gifts",Agree,25,Not Sure,"Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),3,Sometimes,50
5/24/2025 22:55:30,46–60,Male,Namakkal,"₹70,001 – ₹1,00,000",4,Yes,Once a week,No fixed time,10000,Debit/Credit Card,No,No,50,"Groceries, Dairy, Personal Care, Household Items, Fruits & Vegetables",Yes,Sometimes,Order online,"Groceries, Dairy, Personal Care, Household Items, Fruits, Vegetables",No,Yes,5,Maybe,Yes,"Flat Discount, Cashback, Loyalty Points, Free Gifts",Strongly Agree,30,Yes,"Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),4,Yes,30
5/24/2025 23:03:05,26–35,Female,Trichy,"₹40,001 – ₹70,000",2,Yes,Daily,Evening,3000,Cash,Yes,Yes,15,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",No,,,,No,Yes,2,Yes,Yes,"Cashback, Free Gifts",Neutral,10,Not Sure,"Groceries, Fruits & Vegetables",Price,Impulsive (I shop based on what I see),4,Sometimes,30
5/26/2025 12:42:04,46–60,Female,Tiruppur,"₹20,000 – ₹40,000",1,No,Twice a month,Evening,1000,Cash,No,No,60,"Groceries, Snacks, Household Items, Fruits & Vegetables",Yes,Rarely,Switch to a different store,Groceries,No,Yes,7,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free, Cashback, Free Gifts",Agree,20,Not Sure,"Snacks, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),5,Sometimes,5
5/26/2025 12:45:29,Under 18,Male,Chennai,"Below ₹20,000",5,No,Daily,No fixed time,500,Cash,Yes,No,120,"Snacks, Dairy, Beverages, Personal Care, Packaged Food",Yes,Frequently,Buy an alternative brand/product,"Snacks, Dairy, Beverages, Personal Care, Household Items",Yes,Yes,2,Maybe,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Free Gifts",Neutral,50,Not Sure,"Snacks, Personal Care",Brand,Impulsive (I shop based on what I see),3,Sometimes,75
5/26/2025 12:52:59,46–60,Male,Chennai,"Below ₹20,000",2,Yes,Daily,Morning,10000,Debit/Credit Card,No,Yes,30,"Beverages, Personal Care, Household Items, Fruits & Vegetables",No,,,"Snacks, Personal Care, Fruits",No,No,1,Yes,Sometimes,Buy 1 Get 1 Free,Strongly Agree,10,Yes,"Snacks, Beverages, Household Items",Price,Flexible (I have a list but am open to changes),5,No,25
5/26/2025 13:01:19,18–25,Female,Coimbatore ,"Below ₹20,000",4,Yes,Once a week,Evening,5000,Cash,No,No,20,"Groceries, Snacks, Personal Care, Household Items, Fruits & Vegetables",Yes,Rarely,Buy an alternative brand/product,"Groceries, Snacks",No,No,4,No,Sometimes,"Flat Discount, Buy 1 Get 1 Free, Cashback",Neutral,10,No,"Snacks, Beverages, Fruits & Vegetables",Price,Flexible (I have a list but am open to changes),4,Sometimes,10
5/26/2025 13:05:58,18–25,Female,Coimbatore ,Prefer not to say,3,Yes,Rarely,No fixed time,15000,Cash,Yes,Yes,45,"Groceries, Snacks, Dairy, Household Items, Fruits & Vegetables",Yes,Sometimes,Buy an alternative brand/product,"Groceries, Snacks, Dairy, Personal Care, Household Items, Fruits, Vegetables",Yes,Yes,1,Yes,Yes,"Flat Discount, Buy 1 Get 1 Free",Neutral,5,Not Sure,"Snacks, Beverages, Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),3,Sometimes,0
5/26/2025 13:10:14,Under 18,Male,Namakkal ,"₹70,001 – ₹1,00,000",10,Yes,Twice a month,No fixed time,10000,Cash,No,Yes,10,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Order online,"Groceries, Fruits, Vegetables",Yes,No,2,Maybe,Sometimes,"Buy 1 Get 1 Free, Loyalty Points, Free Gifts",Neutral,50,No,"Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Flexible (I have a list but am open to changes),3,Sometimes,45
5/26/2025 13:16:28,26–35,Female,Pollachi,"₹40,001 – ₹70,000",4,Yes,2–3 times a week,Morning,3500,UPI (Google Pay/PhonePe etc.),No,Yes,80,"Snacks, Dairy, Beverages, Fruits & Vegetables, Packaged Food",Yes,Rarely,Leave without buying,"Snacks, Dairy",No,Yes,6,Maybe,Sometimes,"Flat Discount, Cashback",Strongly Agree,40,Not Sure,"Snacks, Beverages, Fruits & Vegetables",Price,Impulsive (I shop based on what I see),5,Yes,10
5/26/2025 13:20:32,36–45,Male,Coimbatore,"₹70,001 – ₹1,00,000",6,Yes,Twice a month,Evening,7000,Debit/Credit Card,Yes,Yes,90,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",No,,,"Groceries, Snacks, Dairy, Household Items, Fruits, Vegetables",No,Yes,5,Maybe,Sometimes,Loyalty Points,Disagree,10,No,"Snacks, Beverages, Personal Care, Household Items, Groceries, Fruits & Vegetables",Quality,Planner (I make a list and stick to it),4,Yes,20
5/26/2025 13:23:39,18–25,Female,Namakkal ,"₹20,000 – ₹40,000",10,Yes,Once a week,Afternoon,2000,Cash,No,No,30,"Dairy, Beverages, Personal Care, Fruits & Vegetables",Yes,Sometimes,Come back later,"Snacks, Personal Care, Household Items",No,Yes,6,Yes,Sometimes,Buy 1 Get 1 Free,Agree,20,Yes,"Personal Care, Groceries",Price,Flexible (I have a list but am open to changes),3,No,20
5/26/2025 13:25:29,18–25,Male,Namakkal,"Below ₹20,000",9,Yes,Twice a month,Evening,1500,Cash,Yes,No,30,"Snacks, Dairy, Beverages, Personal Care",Yes,Frequently,Buy an alternative brand/product,"Beverages, Personal Care",No,Yes,5,Yes,Yes,Buy 1 Get 1 Free,Strongly Agree,50,Yes,"Snacks, Personal Care",Convenience,Planner (I make a list and stick to it),4,Yes,20
5/26/2025 13:25:29,18–25,Male,Trichy ,"Above ₹1,00,000",6,Yes,Twice a month,Morning,10000,Debit/Credit Card,No,Yes,40,"Groceries, Snacks, Dairy, Beverages, Personal Care, Household Items, Fruits & Vegetables, Packaged Food",Yes,Sometimes,Leave without buying,Dairy,Yes,Yes,2,Maybe,Sometimes,Buy 1 Get 1 Free,Neutral,50,No,Personal Care,Quality,Flexible (I have a list but am open to changes),5,Sometimes,45
